Common_Name,Genus,Species,ItemCoordX,ItemCoordY,origin
노각나무,Stewartia,koreana,36.03427183,126.717491,12-L-2794
쪽동백나무,Styrax,obassia,36.03429729,126.7175091,12-L-2795
서어나무,Carpinus,laxiflora,36.03431302,126.7174882,12-L-2796
신갈나무,Quercus,mongolica,36.03428304,126.7174689,12-L-2797
당단풍나무,Acer,pseudosieboldianum,36.03428849,126.7174364,12-L-2798
당단풍나무,Acer,pseudosieboldianum,36.03429939,126.7174359,12-L-2799
졸참나무,Quercus,serrata,36.03428429,126.7174202,12-L-2800
당단풍나무,Acer,pseudosieboldianum,36.03430268,126.717414,12-L-2801
때죽나무,Styrax,japonicus,36.03430627,126.717432,12-L-2802
서어나무,Carpinus,laxiflora,36.03431496,126.7174468,12-L-2803
쇠물푸레,Fraxinus,sieboldiana,36.03431195,126.7174545,12-L-2804
신갈나무,Quercus,mongolica,36.03432213,126.7174551,12-L-2805
당단풍나무,Acer,pseudosieboldianum,36.03432878,126.7174653,12-L-2806
생강나무,Lindera,obtusiloba,36.03434315,126.7174699,12-L-2807
쪽동백나무,Styrax,obassia,36.03435389,126.717489,12-L-2808
쪽동백나무,Styrax,obassia,36.03437006,126.7174897,12-L-2809
때죽나무,Styrax,japonicus,36.03439987,126.7174897,12-L-2810
참느릅나무,Ulmus,parvifolia,36.03438449,126.7174732,12-L-2811
물푸레나무,Fraxinus,rhynchophylla,36.03437202,126.717448,12-L-2812
서어나무,Carpinus,laxiflora,36.03436745,126.7174326,12-L-2813
신갈나무,Quercus,mongolica,36.0343577,126.717436,12-L-2814
서어나무,Carpinus,laxiflora,36.03434064,126.7174373,12-L-2815
쇠물푸레,Fraxinus,sieboldiana,36.03433392,126.7174329,12-L-2816
서어나무,Carpinus,laxiflora,36.03433322,126.7174149,12-L-2817
졸참나무,Quercus,serrata,36.03431237,126.7174043,12-L-2818
졸참나무,Quercus,serrata,36.03434333,126.7173827,12-L-2819
당단풍나무,Acer,pseudosieboldianum,36.03436069,126.7174198,12-L-2820
당단풍나무,Acer,pseudosieboldianum,36.03436997,126.7174067,12-L-2821
노각나무,Stewartia,koreana,36.03437157,126.7173958,12-L-2822
당단풍나무,Acer,pseudosieboldianum,36.03437224,126.717388,12-L-2823
졸참나무,Quercus,serrata,36.03436706,126.7173747,12-L-2824
노각나무,Stewartia,koreana,36.03438172,126.7173625,12-L-2825
다릅나무,Maackia,amurensis,36.03438707,126.7173679,12-L-2826
당단풍나무,Acer,pseudosieboldianum,36.03439371,126.7173627,12-L-2827
졸참나무,Quercus,serrata,36.03439662,126.7173655,12-L-2828
노각나무,Stewartia,koreana,36.03438357,126.7173837,12-L-2829
당단풍나무,Acer,pseudosieboldianum,36.03439287,126.7174005,12-L-2830
졸참나무,Quercus,serrata,36.03438157,126.7174133,12-L-2831
당단풍나무,Acer,pseudosieboldianum,36.03438998,126.7174127,12-L-2832
다릅나무,Maackia,amurensis,36.03439465,126.7174178,12-L-2833
쇠물푸레,Fraxinus,sieboldiana,36.0343917,126.7174263,12-L-2834
노각나무,Stewartia,koreana,36.03438439,126.7174355,12-L-2835
층층나무,Cornus,controversa,36.0344085,126.7174593,12-L-2836
층층나무,Cornus,controversa,36.03442679,126.717457,12-L-2837
층층나무,Cornus,controversa,36.03445132,126.717432,12-L-2838
히어리,Corylopsis,glabrescens,36.0344385,126.7174237,12-L-2839
쇠물푸레,Fraxinus,sieboldiana,36.03444153,126.7174094,12-L-2840
당단풍나무,Acer,pseudosieboldianum,36.03444569,126.7173984,12-L-2841
산벚나무,Prunus,sargentii,36.0344422,126.717395,12-L-2842
서어나무,Carpinus,laxiflora,36.03444033,126.717393,12-L-2843
당단풍나무,Acer,pseudosieboldianum,36.03443004,126.7173908,12-L-2844
졸참나무,Quercus,serrata,36.03442767,126.7174056,12-L-2845
당단풍나무,Acer,pseudosieboldianum,36.03441273,126.7173923,12-L-2846
때죽나무,Styrax,japonicus,36.03440632,126.7174138,12-L-2847
노각나무,Stewartia,koreana,36.03439568,126.7173495,12-L-2848
졸참나무,Quercus,serrata,36.03439573,126.7173452,12-L-2849
졸참나무,Quercus,serrata,36.03443402,126.7173395,12-L-2850
서어나무,Carpinus,laxiflora,36.0344524,126.7173596,12-L-2851
졸참나무,Quercus,serrata,36.03446847,126.7173363,12-L-2852
노각나무,Stewartia,koreana,36.03446391,126.7173226,12-L-2853
졸참나무,Quercus,serrata,36.03446146,126.7173093,12-L-2854
당단풍나무,Acer,pseudosieboldianum,36.03446089,126.7172983,12-L-2855
당단풍나무,Acer,pseudosieboldianum,36.03446986,126.7173035,12-L-2856
당단풍나무,Acer,pseudosieboldianum,36.03446988,126.7173085,12-L-2857
신갈나무,Quercus,mongolica,36.03447575,126.7173204,12-L-2858
노각나무,Stewartia,koreana,36.03447782,126.7173374,12-L-2859
노각나무,Stewartia,koreana,36.03447471,126.7173578,12-L-2860
당단풍나무,Acer,pseudosieboldianum,36.03448375,126.7173561,12-L-2861
졸참나무,Quercus,serrata,36.03448896,126.7173556,12-L-2862
당단풍나무,Acer,pseudosieboldianum,36.03449994,126.7173522,12-L-2863
층층나무,Cornus,controversa,36.03452568,126.71735,12-L-2864
졸참나무,Quercus,serrata,36.03450747,126.7173265,12-L-2865
당단풍나무,Acer,pseudosieboldianum,36.03450946,126.7173027,12-L-2866
졸참나무,Quercus,serrata,36.03449826,126.7172876,12-L-2867
쇠물푸레,Fraxinus,sieboldiana,36.03449257,126.7172812,12-L-2868
서어나무,Carpinus,laxiflora,36.03449383,126.7172737,12-L-2869
서어나무,Carpinus,laxiflora,36.03448487,126.7172868,12-L-2870
당단풍나무,Acer,pseudosieboldianum,36.03446945,126.7172589,12-L-2871
신갈나무,Quercus,mongolica,36.03448163,126.7172477,12-L-2872
당단풍나무,Acer,pseudosieboldianum,36.03448381,126.7172481,12-L-2873
갈참나무,Quercus,aliena,36.03451769,126.7172287,12-L-2874
당단풍나무,Acer,pseudosieboldianum,36.03451835,126.7172444,12-L-2875
서어나무,Carpinus,laxiflora,36.03453366,126.7172429,12-L-2876
합다리나무,Meliosma,oldhamii,36.03452992,126.7172559,12-L-2877
합다리나무,Meliosma,oldhamii,36.03453386,126.7172614,12-L-2878
붉나무,Rhus,javanica,36.03452775,126.7172751,12-L-2879
당단풍나무,Acer,pseudosieboldianum,36.03452683,126.7172857,12-L-2880
당단풍나무,Acer,pseudosieboldianum,36.03453989,126.7172905,12-L-2881
당단풍나무,Acer,pseudosieboldianum,36.03454286,126.7172751,12-L-2882
당단풍나무,Acer,pseudosieboldianum,36.03455385,126.7172826,12-L-2883
층층나무,Cornus,controversa,36.0345723,126.717311,12-L-2884
때죽나무,Styrax,japonicus,36.03461655,126.717277,12-L-2885
노각나무,Stewartia,koreana,36.03458188,126.717251,12-L-2886
노각나무,Stewartia,koreana,36.0345674,126.7172354,12-L-2887
졸참나무,Quercus,serrata,36.03455608,126.7172393,12-L-2888
때죽나무,Styrax,japonicus,36.03454696,126.7172471,12-L-2889
합다리나무,Meliosma,oldhamii,36.03456803,126.7171882,12-L-2890
졸참나무,Quercus,serrata,36.0345878,126.7171929,12-L-2891
가래나무,Juglans,mandshurica,36.03463395,126.7171706,12-L-2892
서어나무,Carpinus,laxiflora,36.03463984,126.7171968,12-L-2893
서어나무,Carpinus,laxiflora,36.03467531,126.7171769,12-L-2894
쪽동백나무,Styrax,obassia,36.03465995,126.7171665,12-L-2895
서어나무,Carpinus,laxiflora,36.03468941,126.7171322,12-L-2896
서어나무,Carpinus,laxiflora,36.03468011,126.7171232,12-L-2897
졸참나무,Quercus,serrata,36.03466536,126.717132,12-L-2898
서어나무,Carpinus,laxiflora,36.03465679,126.7171393,12-L-2899
쇠물푸레,Fraxinus,sieboldiana,36.03465546,126.7171374,12-L-2900
쪽동백나무,Styrax,obassia,36.03468951,126.7170984,12-L-2901
서어나무,Carpinus,laxiflora,36.03471403,126.7170711,12-L-2902
당단풍나무,Acer,pseudosieboldianum,36.0347147,126.7170824,12-L-2903
당단풍나무,Acer,pseudosieboldianum,36.03472378,126.7170774,12-L-2904
때죽나무,Styrax,japonicus,36.03473673,126.7171206,12-L-2905
상수리나무,Quercus,acutissima,36.0347744,126.7170361,12-L-2906
상수리나무,Quercus,acutissima,36.03488935,126.7169711,12-L-2907
갈참나무,Quercus,aliena,36.03494477,126.7169566,12-L-2908
갈참나무,Quercus,aliena,36.03499113,126.7169444,12-L-2909
졸참나무,Quercus,serrata,36.03497114,126.7169279,12-L-2910
굴참나무,Quercus,variabilis,36.03491599,126.7169357,12-L-2911
상수리나무,Quercus,acutissima,36.03485703,126.7169659,12-L-2912
상수리나무,Quercus,acutissima,36.0348213,126.7170058,12-L-2913
졸참나무,Quercus,serrata,36.03479255,126.7169923,12-L-2914
쇠물푸레,Fraxinus,sieboldiana,36.03478732,126.716985,12-L-2915
물푸레나무,Fraxinus,rhynchophylla,36.03476983,126.7169593,12-L-2916
서어나무,Carpinus,laxiflora,36.03476189,126.7169881,12-L-2918
서어나무,Carpinus,laxiflora,36.03476813,126.7170048,12-L-2919
서어나무,Carpinus,laxiflora,36.03474928,126.7169869,12-L-2920
서어나무,Carpinus,laxiflora,36.03473534,126.716999,12-L-2921
서어나무,Carpinus,laxiflora,36.0347451,126.7170054,12-L-2922
졸참나무,Quercus,serrata,36.03474385,126.7170236,12-L-2923
졸참나무,Quercus,serrata,36.03469986,126.7170594,12-L-2924
졸참나무,Quercus,serrata,36.03470095,126.7170157,12-L-2925
노각나무,Stewartia,koreana,36.03469554,126.7169989,12-L-2926
쇠물푸레,Fraxinus,sieboldiana,36.03469656,126.7169902,12-L-2927
졸참나무,Quercus,serrata,36.03469364,126.7169822,12-L-2928
노각나무,Stewartia,koreana,36.03467556,126.7169783,12-L-2929
합다리나무,Meliosma,oldhamii,36.03468541,126.7169974,12-L-2930
합다리나무,Meliosma,oldhamii,36.03466217,126.717009,12-L-2931
대팻집나무,Ilex,macropoda,36.03466538,126.7170205,12-L-2933
서어나무,Carpinus,laxiflora,36.03464541,126.717028,12-L-2934
졸참나무,Quercus,serrata,36.03465554,126.7170542,12-L-2935
서어나무,Carpinus,laxiflora,36.03466377,126.7170915,12-L-2936
서어나무,Carpinus,laxiflora,36.03465269,126.7171009,12-L-2937
서어나무,Carpinus,laxiflora,36.03464797,126.7171093,12-L-2938
노각나무,Stewartia,koreana,36.03463552,126.7171104,12-L-2939
붉나무,Rhus,javanica,36.03464686,126.7170897,12-L-2940
붉나무,Rhus,javanica,36.03462758,126.7170873,12-L-2941
졸참나무,Quercus,serrata,36.03461429,126.7170634,12-L-2942
노각나무,Stewartia,koreana,36.03462438,126.7170264,12-L-2943
졸참나무,Quercus,serrata,36.03462888,126.7170065,12-L-2944
졸참나무,Quercus,serrata,36.0345875,126.7170123,12-L-2945
졸참나무,Quercus,serrata,36.03457941,126.7170425,12-L-2946
산벚나무,Prunus,sargentii,36.0345884,126.717057,12-L-2947
층층나무,Cornus,controversa,36.03460146,126.7170871,12-L-2948
서어나무,Carpinus,laxiflora,36.03461448,126.7171053,12-L-2949
때죽나무,Styrax,japonicus,36.0346204,126.7171281,12-L-2950
졸참나무,Quercus,serrata,36.03463012,126.7171421,12-L-2951
서어나무,Carpinus,laxiflora,36.03463736,126.7171462,12-L-2952
자귀나무,Albizia,julibrissin,36.03463206,126.7171516,12-L-2953
졸참나무,Quercus,serrata,36.03460597,126.7171409,12-L-2954
졸참나무,Quercus,serrata,36.0346054,126.717162,12-L-2955
서어나무,Carpinus,laxiflora,36.03457437,126.7171318,12-L-2956
서어나무,Carpinus,laxiflora,36.03456491,126.7171591,12-L-2957
졸참나무,Quercus,serrata,36.03455654,126.7171486,12-L-2958
굴참나무,Quercus,variabilis,36.03454218,126.7171663,12-L-2959
참느릅나무,Ulmus,parvifolia,36.03458508,126.7171241,12-L-2960
쪽동백나무,Styrax,obassia,36.03459093,126.7171114,12-L-2961
졸참나무,Quercus,serrata,36.03457622,126.717101,12-L-2962
졸참나무,Quercus,serrata,36.03457544,126.7171012,12-L-2963
팥배나무,Sorbus,alnifolia,36.03458496,126.7170947,12-L-2964
때죽나무,Styrax,japonicus,36.03454911,126.71713,12-L-2965
졸참나무,Quercus,serrata,36.03453321,126.7171173,12-L-2966
당단풍나무,Acer,pseudosieboldianum,36.03451541,126.7171067,12-L-2967
졸참나무,Quercus,serrata,36.0345307,126.7170583,12-L-2968
쪽동백나무,Styrax,obassia,36.03453378,126.717053,12-L-2969
졸참나무,Quercus,serrata,36.03451094,126.7170532,12-L-2970
당단풍나무,Acer,pseudosieboldianum,36.03452201,126.7170606,12-L-2971
졸참나무,Quercus,serrata,36.03450183,126.7170798,12-L-2972
졸참나무,Quercus,serrata,36.03448711,126.7170463,12-L-2973
물푸레나무,Fraxinus,rhynchophylla,36.03448095,126.7170546,12-L-2974
졸참나무,Quercus,serrata,36.0344642,126.7170664,12-L-2975
서어나무,Carpinus,laxiflora,36.03447592,126.7170735,12-L-2976
서어나무,Carpinus,laxiflora,36.03446912,126.7170899,12-L-2977
서어나무,Carpinus,laxiflora,36.03446495,126.71712,12-L-2978
졸참나무,Quercus,serrata,36.03447764,126.7171318,12-L-2979
졸참나무,Quercus,serrata,36.03450592,126.7171377,12-L-2980
까치박달,Carpinus,cordata,36.03453121,126.7171608,12-L-2981
졸참나무,Quercus,serrata,36.03452093,126.717185,12-L-2982
굴참나무,Quercus,variabilis,36.03450501,126.7171803,12-L-2983
굴참나무,Quercus,variabilis,36.03444084,126.717107,12-L-2984
서어나무,Carpinus,laxiflora,36.03444002,126.7170911,12-L-2985
합다리나무,Meliosma,oldhamii,36.03444427,126.7170691,12-L-2986
합다리나무,Meliosma,oldhamii,36.03444274,126.7170695,12-L-2987
서어나무,Carpinus,laxiflora,36.03443647,126.7170797,12-L-2988
졸참나무,Quercus,serrata,36.03442035,126.7170736,12-L-2989
졸참나무,Quercus,serrata,36.03442732,126.7171011,12-L-2990
당단풍나무,Acer,pseudosieboldianum,36.0344057,126.7171214,12-L-2991
졸참나무,Quercus,serrata,36.03439873,126.7170712,12-L-2992
졸참나무,Quercus,serrata,36.034382,126.7171044,12-L-2993
졸참나무,Quercus,serrata,36.03435945,126.717125,12-L-2994
굴참나무,Quercus,variabilis,36.03435111,126.7171208,12-L-2995
서어나무,Carpinus,laxiflora,36.03436606,126.7170841,12-L-2996
굴참나무,Quercus,variabilis,36.03435547,126.7170732,12-L-2997
개암나무,Corylus,heterophylla,36.03433219,126.717091,12-L-2998
합다리나무,Meliosma,oldhamii,36.0343241,126.7171079,12-L-2999
졸참나무,Quercus,serrata,36.03433095,126.717135,12-L-3000
졸참나무,Quercus,serrata,36.03430614,126.7171215,12-L-3001
가래나무,Juglans,mandshurica,36.03430585,126.7171081,12-L-3002
졸참나무,Quercus,serrata,36.03429599,126.7170963,12-L-3003
졸참나무,Quercus,serrata,36.03428583,126.717089,12-L-3004
굴참나무,Quercus,variabilis,36.03428257,126.7171176,12-L-3005
졸참나무,Quercus,serrata,36.0342681,126.7171226,12-L-3006
졸참나무,Quercus,serrata,36.03425448,126.7170854,12-L-3007
졸참나무,Quercus,serrata,36.0342308,126.7170933,12-L-3008
졸참나무,Quercus,serrata,36.03423425,126.7171253,12-L-3009
졸참나무,Quercus,serrata,36.03425178,126.7171375,12-L-3010
졸참나무,Quercus,serrata,36.03422302,126.7171659,12-L-3011
합다리나무,Meliosma,oldhamii,36.03422663,126.7171476,12-L-3012
굴참나무,Quercus,variabilis,36.03422135,126.717132,12-L-3013
졸참나무,Quercus,serrata,36.03421151,126.7171304,12-L-3014
졸참나무,Quercus,serrata,36.0342037,126.717115,12-L-3015
졸참나무,Quercus,serrata,36.03421085,126.7171082,12-L-3016
졸참나무,Quercus,serrata,36.03419184,126.7171272,12-L-3017
졸참나무,Quercus,serrata,36.03419351,126.7171325,12-L-3018
졸참나무,Quercus,serrata,36.03420398,126.7171534,12-L-3019
서어나무,Carpinus,laxiflora,36.03419883,126.7171716,12-L-3020
때죽나무,Styrax,japonicus,36.03419075,126.7171769,12-L-3021
졸참나무,Quercus,serrata,36.03418398,126.7171709,12-L-3022
졸참나무,Quercus,serrata,36.03417067,126.71715,12-L-3023
졸참나무,Quercus,serrata,36.03416411,126.7171046,12-L-3024
졸참나무,Quercus,serrata,36.03414977,126.7171258,12-L-3025
서어나무,Carpinus,laxiflora,36.03414293,126.717174,12-L-3026
산벚나무,Prunus,sargentii,36.03413821,126.7171812,12-L-3027
졸참나무,Quercus,serrata,36.03413038,126.717188,12-L-3028
졸참나무,Quercus,serrata,36.03409745,126.7171727,12-L-3029
졸참나무,Quercus,serrata,36.03409334,126.71713,12-L-3030
졸참나무,Quercus,serrata,36.03406723,126.7171462,12-L-3031
서어나무,Carpinus,laxiflora,36.03405655,126.7171909,12-L-3032
졸참나무,Quercus,serrata,36.03404464,126.7171974,12-L-3033
서어나무,Carpinus,laxiflora,36.03404568,126.717171,12-L-3034
졸참나무,Quercus,serrata,36.03401623,126.7171653,12-L-3035
졸참나무,Quercus,serrata,36.0340098,126.7172055,12-L-3036
굴참나무,Quercus,variabilis,36.03401058,126.717223,12-L-3037
졸참나무,Quercus,serrata,36.03402603,126.7172429,12-L-3038
동백나무,Camellia,japonica,36.03402247,126.7172396,12-L-3039
졸참나무,Quercus,serrata,36.03400368,126.7172373,12-L-3040
굴참나무,Quercus,variabilis,36.03402348,126.7172772,12-L-3041
졸참나무,Quercus,serrata,36.03403527,126.7172924,12-L-3042
소나무,Pinus,densiflora,36.03401218,126.7173733,12-L-3046
떡갈나무,Quercus,dentata,36.03401581,126.7173798,12-L-3047
쇠물푸레,Fraxinus,sieboldiana,36.03402123,126.717386,12-L-3048
굴참나무,Quercus,variabilis,36.0340253,126.7173642,12-L-3049
소나무,Pinus,densiflora,36.03405324,126.7173789,12-L-3050
굴참나무,Quercus,variabilis,36.03407303,126.717373,12-L-3051
소나무,Pinus,densiflora,36.03409633,126.7173799,12-L-3052
굴참나무,Quercus,variabilis,36.03410955,126.7173789,12-L-3053
소나무,Pinus,densiflora,36.03411401,126.7173625,12-L-3054
소나무,Pinus,densiflora,36.03409865,126.7173284,12-L-3055
소나무,Pinus,densiflora,36.03406675,126.7173285,12-L-3056
굴참나무,Quercus,variabilis,36.03405128,126.7173361,12-L-3057
소나무,Pinus,densiflora,36.03403202,126.7173275,12-L-3058
쇠물푸레,Fraxinus,sieboldiana,36.03402422,126.7173219,12-L-3059
졸참나무,Quercus,serrata,36.03404835,126.717289,12-L-3060
신갈나무,Quercus,mongolica,36.03407982,126.7172464,12-L-3061
졸참나무,Quercus,serrata,36.03407698,126.7172132,12-L-3062
졸참나무,Quercus,serrata,36.03407095,126.7172054,12-L-3063
굴참나무,Quercus,variabilis,36.03408512,126.717198,12-L-3064
때죽나무,Styrax,japonicus,36.03410021,126.7172134,12-L-3065
신갈나무,Quercus,mongolica,36.03410646,126.7172353,12-L-3066
굴참나무,Quercus,variabilis,36.03412919,126.7172,12-L-3067
졸참나무,Quercus,serrata,36.03415031,126.7172039,12-L-3068
때죽나무,Styrax,japonicus,36.03413991,126.7172501,12-L-3069
굴참나무,Quercus,variabilis,36.03414719,126.7172607,12-L-3070
굴참나무,Quercus,variabilis,36.03413234,126.7172644,12-L-3071
소나무,Pinus,densiflora,36.03410998,126.7172764,12-L-3072
굴참나무,Quercus,variabilis,36.03411684,126.7172964,12-L-3073
소나무,Pinus,densiflora,36.03413237,126.7172946,12-L-3074
굴참나무,Quercus,variabilis,36.03414528,126.717296,12-L-3075
굴참나무,Quercus,variabilis,36.0341416,126.7173098,12-L-3076
소나무,Pinus,densiflora,36.03414157,126.717314,12-L-3077
굴참나무,Quercus,variabilis,36.03415571,126.7173323,12-L-3078
쇠물푸레,Fraxinus,sieboldiana,36.03414891,126.7173721,12-L-3079
소나무,Pinus,densiflora,36.03413849,126.7173786,12-L-3080
쇠물푸레,Fraxinus,sieboldiana,36.03414598,126.7173852,12-L-3081
졸참나무,Quercus,serrata,36.03415115,126.7174005,12-L-3082
쇠물푸레,Fraxinus,sieboldiana,36.03417182,126.7174153,12-L-3083
쇠물푸레,Fraxinus,sieboldiana,36.03417513,126.7174179,12-L-3084
쇠물푸레,Fraxinus,sieboldiana,36.03417958,126.7174192,12-L-3085
쇠물푸레,Fraxinus,sieboldiana,36.03419616,126.7174169,12-L-3086
쇠물푸레,Fraxinus,sieboldiana,36.03419643,126.7174192,12-L-3087
쇠물푸레,Fraxinus,sieboldiana,36.03420768,126.7174265,12-L-3088
쇠물푸레,Fraxinus,sieboldiana,36.03419324,126.7173775,12-L-3089
굴참나무,Quercus,variabilis,36.03420534,126.7173441,12-L-3090
소나무,Pinus,densiflora,36.03419781,126.7173462,12-L-3091
굴참나무,Quercus,variabilis,36.03418056,126.717354,12-L-3092
굴참나무,Quercus,variabilis,36.03417572,126.7173542,12-L-3093
소나무,Pinus,densiflora,36.03416894,126.7173365,12-L-3094
때죽나무,Styrax,japonicus,36.03417887,126.7173268,12-L-3095
굴참나무,Quercus,variabilis,36.03418186,126.7173155,12-L-3096
소나무,Pinus,densiflora,36.0342043,126.7173045,12-L-3097
소나무,Pinus,densiflora,36.0341743,126.7172914,12-L-3098
굴참나무,Quercus,variabilis,36.03414842,126.7172792,12-L-3099
소나무,Pinus,densiflora,36.03415414,126.7172505,12-L-3100
소나무,Pinus,densiflora,36.03418698,126.71724,12-L-3101
